                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.47657,                0.34204,                0.94408,                0.87062,                0.81469,                0.87979,                0.66134,                0.85872,                0.58043,                 1.2338,             0.00023121,             0.00023121,             0.00023121
                     89,                0.49444,                0.34406,                0.95185,                 0.8902,                0.79697,                0.87256,                0.65137,                0.85192,                0.59295,                 1.2329,             0.00021471,             0.00021471,             0.00021471
                     90,                0.47725,                0.33881,                0.93819,                0.91801,                0.77754,                 0.8694,                0.65465,                0.82958,                0.58596,                   1.21,             0.00019821,             0.00019821,             0.00019821
                     91,                0.39355,                0.27961,                0.88641,                0.89776,                0.77115,                0.86681,                0.65033,                0.84713,                0.61772,                 1.2254,              0.0001817,              0.0001817,              0.0001817
                     92,                0.39167,                0.26749,                0.88857,                0.85986,                0.82957,                0.88014,                0.65782,                0.85529,                0.57446,                 1.2368,              0.0001652,              0.0001652,              0.0001652
                     93,                 0.3761,                0.25925,                0.87849,                0.85232,                0.83525,                0.88116,                 0.6579,                0.85377,                0.61622,                  1.235,              0.0001487,              0.0001487,              0.0001487
                     94,                 0.3758,                0.25329,                0.88865,                0.86533,                0.81451,                0.88164,                0.66191,                0.83431,                 0.5756,                 1.2145,             0.00013219,             0.00013219,             0.00013219
                     95,                0.37128,                0.25226,                0.88069,                0.89382,                0.79351,                0.88527,                0.66635,                 0.8305,                0.59001,                 1.2078,             0.00011569,             0.00011569,             0.00011569
                     96,                0.36464,                 0.2468,                0.87113,                0.87479,                 0.8225,                0.89447,                0.67695,                0.82764,                0.58656,                 1.2161,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.35648,                0.25981,                 0.8827,                0.84392,                0.84979,                0.88364,                0.67471,                0.82116,                0.59525,                 1.2242,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.35086,                 0.2431,                0.86667,                0.85941,                0.82688,                 0.8836,                0.67105,                0.82803,                0.60284,                 1.2305,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.36458,                0.25136,                0.87449,                0.88979,                 0.7995,                0.89018,                 0.6761,                0.82394,                0.58997,                 1.2271,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.35369,                0.24205,                0.87511,                0.82928,                0.84511,                 0.8915,                0.67918,                0.81966,                0.57818,                 1.2217,             3.3173e-05,             3.3173e-05,             3.3173e-05
