               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  60,             0.67637,             0.48056,              1.0315,             0.87118,             0.80784,             0.88643,             0.67491,             0.81356,             0.50803,              1.2677,            0.004159,            0.004159,            0.004159
                  61,             0.64907,             0.46297,              1.0262,             0.88191,             0.78298,             0.86731,              0.6625,             0.84625,              0.4919,              1.3003,             0.00406,             0.00406,             0.00406
                  62,              0.6596,              0.4645,              1.0174,             0.87339,             0.79444,             0.85548,             0.66235,             0.84857,             0.51985,               1.246,            0.003961,            0.003961,            0.003961
                  63,             0.65488,             0.46236,               1.018,             0.85981,             0.82062,             0.85773,             0.65118,             0.86318,             0.50813,              1.2599,            0.003862,            0.003862,            0.003862
                  64,             0.65747,             0.46351,              1.0141,             0.86482,             0.79444,             0.86779,             0.66237,             0.86202,             0.50866,              1.2753,            0.003763,            0.003763,            0.003763
                  65,             0.64888,              0.4639,              1.0221,             0.84838,             0.80113,              0.8652,             0.65769,             0.84847,             0.49216,              1.2537,            0.003664,            0.003664,            0.003664
                  66,              0.6254,             0.43681,             0.99958,             0.85657,             0.81143,             0.85515,             0.64115,             0.87291,             0.53908,              1.3109,            0.003565,            0.003565,            0.003565
                  67,             0.61803,             0.43518,              1.0053,             0.85353,             0.83677,             0.86991,             0.66025,             0.87657,             0.49639,              1.3255,            0.003466,            0.003466,            0.003466
                  68,             0.62781,             0.43598,             0.99671,             0.86584,             0.80054,              0.8488,             0.63106,             0.91526,             0.54803,               1.351,            0.003367,            0.003367,            0.003367
                  69,             0.62023,             0.42743,             0.99386,             0.89891,             0.78968,             0.85981,             0.65082,             0.84526,             0.52813,              1.2851,            0.003268,            0.003268,            0.003268
                  70,             0.61782,             0.41537,             0.98763,             0.86561,             0.79065,              0.8617,             0.65581,             0.85819,             0.56279,              1.3011,            0.003169,            0.003169,            0.003169
                  71,             0.62842,             0.43302,              1.0047,             0.88769,             0.76833,             0.86665,             0.65841,             0.82722,             0.52751,               1.265,             0.00307,             0.00307,             0.00307
                  72,              0.6233,             0.43665,              1.0016,             0.85709,             0.80746,             0.87718,             0.66228,             0.84514,             0.51564,              1.3006,            0.002971,            0.002971,            0.002971
                  73,             0.61606,             0.42001,             0.99235,             0.86024,              0.8329,             0.88797,             0.68356,             0.82726,             0.48206,              1.3134,            0.002872,            0.002872,            0.002872
                  74,             0.61342,             0.42669,             0.99684,             0.89658,             0.80619,             0.89278,             0.67783,             0.82599,             0.46781,               1.277,            0.002773,            0.002773,            0.002773
                  75,             0.61057,             0.42383,             0.99181,             0.87347,             0.83134,             0.87504,              0.6596,             0.85384,             0.49017,              1.2784,            0.002674,            0.002674,            0.002674
